City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Ler,SS,71.31,broken clouds,8.3018,30.1418,Leer Humanitarian Hub
192,Juruti,BR,86.47,broken clouds,-2.1522,-56.0922,Pousada Marupiara
198,Rapid Valley,US,80.76,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
199,Guanare,VE,75.22,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
200,Jinchang,CN,72.39,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
201,Samarinda,ID,72.55,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
202,George Town,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
205,Isangel,VU,71.71,overcast clouds,-19.55,169.2667,Tanna Lodge
207,Jining,CN,72.84,clear sky,35.405,116.5814,Yunhe Star Hotel
210,Inirida,CO,86.36,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
211,Rurrenabaque,BO,83.89,broken clouds,-14.4413,-67.5278,Casa de Campo
212,Fort Nelson,CA,76.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
214,Vila Do Maio,CV,79.59,scattered clouds,15.1333,-23.2167,Hotel Marilu
217,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
218,Svodna,BA,73.42,clear sky,45.0372,16.5383,Basrakovo Brdo
219,Sargodha,PK,88.11,clear sky,32.0836,72.6711,Ayesha Hostel
220,Lorengau,PG,82.02,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
221,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
225,Lompoc,US,85.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
226,Meulaboh,ID,74.73,overcast clouds,4.1363,96.1285,Kost Pria
228,Carutapera,BR,81.1,overcast clouds,-1.195,-46.02,Lidera
229,Ixtapa,MX,89.22,few clouds,20.7,-105.2,hotel la terminal
231,Hovd,MN,75.29,overcast clouds,48.0056,91.6419,Hotel Khovd
232,Bumba,CD,73.92,broken clouds,2.1833,22.4667,Père Carlos
241,Makakilo City,US,80.92,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
242,Balabac,PH,82.54,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
244,San Quintin,MX,75.11,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
251,Santa Marta,CO,83.08,light rain,11.2408,-74.199,Hotel La Ballena Azul
254,Valdez,EC,79.45,light rain,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
256,Basay,PH,80.42,overcast clouds,9.4087,122.64,Nikka's Place (Basay Transient Rooms)
257,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
260,Garowe,SO,77.31,overcast clouds,8.4054,48.4845,Curubo Hotel
261,Sao Joao Da Barra,BR,73.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
263,Paine,CL,71.1,broken clouds,-33.8167,-70.75,Hotel El Almendro by DOT Light
264,Mamallapuram,IN,82.45,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
265,Port-Gentil,GA,73.36,few clouds,-0.7193,8.7815,Fengshui Residence
267,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Pousada Camboinha
271,Malindi,KE,76.5,few clouds,-3.2175,40.1191,African House Resort
272,Sibolga,ID,75.56,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
273,Ganzhou,CN,76.24,clear sky,28.8184,115.4327,Zhanqian Grand Hotel
275,Doctor Arroyo,MX,79.21,light rain,23.6667,-100.1833,Hotel Plaza
282,Myitkyina,MM,74.53,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
284,Linhares,BR,71.91,few clouds,-19.3911,-40.0722,Hotel Conceição
285,Orocue,CO,75.52,light rain,4.7912,-71.3354,Hotel Brisas de San Miguel
286,Nakamura,JP,71.87,clear sky,32.9833,132.9333,Hotel Crown Hills Nakamura
293,Lazaro Cardenas,MX,86.81,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
301,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
302,Hami,CN,83.5,clear sky,42.8,93.45,Laoyutang Resort
305,Lucea,JM,88.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
306,Tual,ID,80.64,light rain,-5.6667,132.75,Grand Vilia Hotel
308,Vallenar,CL,70.61,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
310,Templin,DE,73.09,few clouds,53.1186,13.5022,AHORN Seehotel Templin
315,Labuhan,ID,75.51,broken clouds,-6.8844,112.2051,DoubleFAG
318,Kikwit,CD,76.39,clear sky,-5.041,18.8162,HOTEL PLACE YALABA
330,Rypin,PL,76.15,light rain,53.066,19.4094,Hotel Level
333,Kalmunai,LK,80.92,overcast clouds,7.4167,81.8167,VS Villa
334,Kokopo,PG,77.04,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
336,Zhicheng,CN,77.4,broken clouds,30.2956,111.5047,Wangjiang Building
340,Tura,IN,72.73,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
342,Ponta Do Sol,PT,71.01,scattered clouds,32.6667,-17.1,Hotel do Campo
344,Tagusao,PH,80.67,overcast clouds,9.1924,117.8141,Caycay future beach resort
345,Kavieng,PG,80.26,moderate rain,-2.5744,150.7967,Nusa Island Retreat
346,San Joaquin,US,83.53,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
348,Wajir,KE,76.39,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
349,Kloulklubed,PW,82.24,light rain,7.0419,134.2556,Storyboard Beach Resort
351,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
352,Aquiraz,BR,84.29,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
355,Auki,SB,77.02,light rain,-8.7676,160.7034,Auki Motel
357,Lahad Datu,MY,77.59,light rain,5.0268,118.327,The 27th House
359,Buala,SB,79.39,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
